titre,prix,surface,pieces,quartier,type_bien,prix_m2,url,source,score_marche,etage,parking,balcon,vue_mer,etat_bien,score_jeune_couple,tags,resume_ia
LOCAL PROFESSIONNEL,23000,13.0,1,Centre-ville,appartement,1769.23,https://www.bienici.com/annonce/hektor-lpaimmo-27288,Agence,Opportunite,,False,False,False,inconnu,1,"[""centre_ville"", ""investissement_locatif""]","Local professionnel de 13 m² au centre-ville à 23 000€. Surface minimale, prix/m² élevé. Opportunité d'investissement locatif plutôt qu'habitation principale."
BAISSE DE PRIX - Spécial investisseurs - T1 meublé en résidence étudiante,35000,19.0,1,Saint-Jean du Var,appartement,1842.11,https://www.bienici.com/annonce/ag311656-497608130,Mandataire,Opportunite,,False,False,False,bon_etat,1,"[""investissement_locatif"", ""centre_ville""]",T1 meublé 19 m² à 35 000€ en résidence étudiante. Opportunité d'investissement locatif avec rendement potentiel intéressant à Saint-Jean du Var.
"En viager occupé, grand appartement à Toulon",37000,68.35,5,Saint-Jean du Var,appartement,541.33,https://www.bienici.com/annonce/apimo-83896659,IMMO LIBERTE,Opportunite,,False,False,False,inconnu,1,"[""investissement_locatif""]",Grand appartement 5 pièces en viager occupé à Saint-Jean du Var. Prix très attractif (37000€) mais formule complexe : rente viagère + occupation du bien jusqu'au décès du crédirentier. À réserver aux investisseurs expérimentés.
Spécial investisseurs - T1 meublé en résidence étudiante,42000,18.0,1,Aguillon,appartement,2333.33,https://www.bienici.com/annonce/ag311656-510682583,Mandataire,Opportunite,,False,False,False,bon_etat,1,"[""investissement_locatif"", ""coup_de_coeur""]",T1 meublé 18m² en résidence étudiante à Aguillon. Prix très accessible à 42000€. Opportunité d'investissement locatif avec rendement potentiel intéressant en zone estudiantine.
"Viager occupé - Appartement T3 de 62 m2 avec garage fermé - Monsieur 79 ans, Madame 79 ans",46200,62.0,3,Saint-Roch,appartement,745.16,https://www.bienici.com/annonce/ag135538-513081599,Mandataire,Opportunite,,True,False,False,inconnu,2,"[""investissement_locatif"", ""parking_inclus"", ""proche_transports""]","Viager occupé T3 62 m² à Saint-Roch avec garage. Prix d'opportunité (46 200 €, 745 €/m²). Bien adapté aux investisseurs acceptant l'occupation temporaire, peu approprié pour usage personnel immédiat."
Studio meublé sous bail Commercial,47900,18.68,1,Saint-Jean du Var,appartement,2564.24,https://www.bienici.com/annonce/hektor-royalimmolavaletteduvar-27154,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio meublé 18.68m² à Saint-Jean du Var sous bail commercial. Prix: 47900€. Opportunité d'investissement locatif. Petit espace, peu adapté à la vie de couple."
Studio meublé sous bail Commercial,49900,19.17,1,Saint-Jean du Var,appartement,2603.03,https://www.bienici.com/annonce/hektor-royalimmolavaletteduvar-27155,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio meublé 19m² à Saint-Jean du Var, sous bail commercial. Prix 49900€ (2603€/m²). Opportunité d'investissement locatif mais très exigu pour un jeune couple."
Studio meublé sous bail Commercial,50000,20.57,1,Saint-Jean du Var,appartement,2430.72,https://www.bienici.com/annonce/hektor-royalimmolavaletteduvar-21080,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]",Studio meublé 20m² à Saint-Jean du Var sous bail commercial. Prix attractif (50k€) mais surface réduite et statut commercial limitant pour habitation principale.
Studio meublé sous bail Commercial,50000,18.9,1,Saint-Jean du Var,appartement,2645.5,https://www.bienici.com/annonce/hektor-royalimmolavaletteduvar-21079,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio meublé 18,9 m² sous bail commercial à Saint-Jean du Var. Prix 50000€. Opportunité d'investissement locatif mais espace minimal pour usage personnel."
Appartement Toulon EST 1 pièce(s) 18m²,50000,18.0,1,Saint-Jean du Var,appartement,2777.78,https://www.bienici.com/annonce/immo-facile-59421299,Immo de France Toulon,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]",Studio minuscule à 50000€ dans le quartier Saint-Jean du Var. Excellent prix d'accès mais surface exiguë. Opportunité d'investissement locatif plutôt que résidence principale.
Studio meublé sous bail Commercial,52000,21.47,1,Saint-Jean du Var,appartement,2421.98,https://www.bienici.com/annonce/hektor-royalimmolavaletteduvar-21081,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif"", ""coup_de_coeur""]","Studio meublé 21m² à Saint-Jean du Var, sous bail commercial. Prix 52000€ représente une opportunité d'investissement avec rendement locatif intéressant."
Appartement Toulon 1 pièce(s) résidence de service étudiante  TOULON MAYOL,53000,16.6,1,Porte d'Italie,appartement,3192.77,https://www.bienici.com/annonce/immo-facile-60016482,Agence,Opportunite,,False,False,False,neuf,2,"[""investissement_locatif"", ""coup_de_coeur""]","T1 neuf en résidence étudiante Mayol à 53k€. Très compact (16,6m²), idéal placement locatif pour investisseur. Tarif au m² élevé mais opportunité de marché."
T2 TOULON OUEST SAINT ROCH,55000,33.0,2,Saint-Roch,appartement,1666.67,https://www.bienici.com/annonce/ag832760-489220802,Agence,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""coup_de_coeur""]",T2 compact à 55000€ dans Saint-Roch. Budget très accessible pour primo-accédants. Surface modeste (33m²) mais prix/m² intéressant. Positionnement marché favorable.
Appartement Toulon 1 pièce(s) résidence étudiante TOULON MAYOL,55000,17.0,1,Porte d'Italie,appartement,3235.29,https://www.bienici.com/annonce/immo-facile-60016493,Agence,Opportunite,,False,False,False,bon_etat,2,"[""investissement_locatif"", ""centre_ville""]","T1 compact en résidence étudiante Mayol, 17m² à 55000€. Prix accessible mais espace très limité. Bon potentiel locatif étudiant. Quartier Porte d'Italie bien desservi."
Très beau T1 20.52 m² - GSA Résidences Toulon Mayol,57500,20.0,1,Porte d'Italie,appartement,2875.0,https://www.bienici.com/annonce/ag755959-499522796,Agence,Opportunite,,False,False,False,neuf,2,"[""coup_de_coeur"", ""investissement_locatif"", ""proche_transports""]","T1 neuf 20m² à Porte d'Italie, très bien positionné marché à 57500€. Opportunité d'investissement locatif mais surface minimale. Idéal primo-accédant seul ou investisseur."
TOULON CENTRE - studette,58000,14.0,1,Centre-ville,appartement,4142.86,https://www.bienici.com/annonce/hektor-centreville-388343,IBOX Jaurès,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""coup_de_coeur"", ""investissement_locatif""]",Studette 14m² en centre-ville de Toulon à 58000€. Positionnée comme opportunité avec prix/m² élevé. Idéale investissement locatif court terme ou première acquisition budget limité.
A VENDRE STUDIO ETUDIANT TOULON MAYOL,58164,20.5,1,Porte d'Italie,appartement,2837.27,https://www.bienici.com/annonce/netty-company54466zys-appt-31978,Agence,Opportunite,,False,False,False,inconnu,2,"[""investissement_locatif""]","Studio compact de 20,5 m² à Porte d'Italie, Toulon. Prix très accessible à 58k€. Bien adapté pour investissement locatif étudiant, peu viable pour un jeune couple cherchant confort."
Investissement en residence étudiante,58200,20.5,1,Centre-ville,appartement,2839.02,https://www.bienici.com/annonce/hektor-APOGEE-5873,Agence,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio 20.5m² en centre-ville à 58200€. Positionnement marché opportunité. Idéal investissement résidence étudiante. Surface minimale, prix au m² élevé mais budget global accessible."
Appartement Toulon Centre1 pièce(s) 18 m2,59000,18.0,1,Porte d'Italie,appartement,3277.78,https://www.bienici.com/annonce/immo-facile-56255852,Immo de France Toulon,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]",Studio 18m² centre Toulon à 59000€. Exiguïté majeure pour habitation couple mais opportunité investissement locatif rentable. Situation centrale à Porte d'Italie.
"Studio meublé de 20,52m2",60000,17.69,1,Champs-de-Mars,appartement,3391.75,https://www.bienici.com/annonce/hektor-2_GRECHTOULON2023-103699,Agence,Opportunite,,False,False,False,bon_etat,2,"[""investissement_locatif""]","Studio meublé compact de 17,69m² au Champs-de-Mars. Prix total accessible mais très petit pour un couple. Opportunité d'investissement locatif plutôt que résidence principale."
STUDIO RUE DES ARTS,62000,24.25,1,Centre-ville,appartement,2556.7,https://www.bienici.com/annonce/hektor-lpaimmo-27279,Agence,Opportunite,,False,False,False,inconnu,2,"[""centre_ville"", ""investissement_locatif""]","Studio 24m² rue des Arts à 62k€. Centre-ville, prix/m² élevé. Petit espace adapté davantage à investisseur locatif qu'à résidence principale couple."
,63000,63.0,4,Beaulieu,appartement,1000.0,https://www.bienici.com/annonce/citya-immobilier-41039H-TAPP939925,Citya Estublier,Opportunite,,False,False,False,inconnu,4,"[""investissement_locatif"", ""coup_de_coeur"", ""proche_transports""]","Appartement 4 pièces à Beaulieu, prix très avantageux (63k€, 1000€/m²). Opportunité d'investissement accessible pour jeune couple avec bon potentiel."
