date,annee,mois,type_bien,surface,prix,prix_m2,pieces,code_postal,quartier,latitude,longitude
2023-01-05,2023,1,Appartement,81.0,208000.0,2567.9,4,83200,Est (La Valette / La Garde),43.131164,5.916976
2023-01-05,2023,1,Appartement,18.0,77500.0,4305.56,1,83000,Centre-ville,43.124235,5.930958
2023-01-04,2023,1,Appartement,40.0,91870.0,2296.75,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.122829,5.947914
2023-01-03,2023,1,Appartement,48.0,139000.0,2895.83,2,83000,Centre-ville,43.135619,5.921616
2023-01-06,2023,1,Appartement,24.0,96180.0,4007.5,1,83000,Centre-ville,43.112753,5.939779
2023-01-10,2023,1,Maison,108.0,416250.0,3854.17,4,83000,Centre-ville,43.13205,5.936051
2023-01-03,2023,1,Appartement,64.0,106900.0,1670.31,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.131642,5.978928
2023-01-09,2023,1,Appartement,65.0,153000.0,2353.85,4,83200,Est (La Valette / La Garde),43.128794,5.903776
2023-01-05,2023,1,Appartement,84.0,285000.0,3392.86,3,83000,Centre-ville,43.110962,5.934764
2023-01-04,2023,1,Appartement,55.0,90000.0,1636.36,3,83000,Centre-ville,43.128895,5.923003
2023-01-13,2023,1,Appartement,70.0,396000.0,5657.14,2,83000,Centre-ville,43.128359,5.949174
2023-01-03,2023,1,Appartement,43.0,127570.0,2966.74,2,83000,Centre-ville,43.124543,5.929242
2023-01-06,2023,1,Appartement,33.0,65000.0,1969.7,2,83000,Centre-ville,43.123656,5.932206
2023-01-17,2023,1,Appartement,61.0,135000.0,2213.11,3,83000,Centre-ville,43.119125,5.943884
2023-01-10,2023,1,Maison,80.0,375000.0,4687.5,3,83000,Centre-ville,43.111272,5.938742
2023-01-16,2023,1,Appartement,55.0,126000.0,2290.91,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.129302,5.964846
2023-01-12,2023,1,Appartement,90.0,222200.0,2468.89,5,83200,Est (La Valette / La Garde),43.127669,5.916868
2023-01-10,2023,1,Appartement,52.0,200000.0,3846.15,3,83000,Centre-ville,43.110668,5.939911
2023-01-17,2023,1,Appartement,61.0,280000.0,4590.16,3,83000,Centre-ville,43.107679,5.931369
2023-01-03,2023,1,Appartement,75.0,118250.0,1576.67,3,83200,Est (La Valette / La Garde),43.133893,5.916532
2023-01-12,2023,1,Appartement,59.0,135000.0,2288.14,4,83000,Centre-ville,43.117841,5.941508
2023-01-04,2023,1,Appartement,67.0,138000.0,2059.7,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.126471,5.971407
2023-01-06,2023,1,Appartement,38.0,81000.0,2131.58,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.123895,5.95121
2023-01-09,2023,1,Appartement,20.0,79000.0,3950.0,1,83000,Centre-ville,43.122318,5.943161
2023-01-06,2023,1,Appartement,34.0,72375.0,2128.68,1,83200,Est (La Valette / La Garde),43.131259,5.909771
2023-01-06,2023,1,Appartement,42.0,72375.0,1723.21,2,83200,Est (La Valette / La Garde),43.131259,5.909771
2023-01-06,2023,1,Appartement,71.0,59625.0,839.79,3,83200,Est (La Valette / La Garde),43.131259,5.909771
2023-01-06,2023,1,Appartement,41.0,35200.0,858.54,2,83200,Est (La Valette / La Garde),43.131259,5.909771
2023-01-06,2023,1,Appartement,71.0,57000.0,802.82,3,83200,Est (La Valette / La Garde),43.131259,5.909771
2023-01-12,2023,1,Appartement,20.0,63300.0,3165.0,1,83200,Est (La Valette / La Garde),43.131999,5.909474
2023-01-09,2023,1,Appartement,82.0,219000.0,2670.73,4,83000,Centre-ville,43.116786,5.942627
2023-01-09,2023,1,Maison,70.0,345000.0,4928.57,3,83200,Est (La Valette / La Garde),43.138156,5.905107
2023-01-09,2023,1,Appartement,54.0,90000.0,1666.67,3,83000,Centre-ville,43.119564,5.948215
2023-01-03,2023,1,Appartement,119.0,438000.0,3680.67,5,83000,Centre-ville,43.1275,5.930279
2023-01-06,2023,1,Appartement,120.0,450000.0,3750.0,4,83000,Centre-ville,43.110891,5.954007
2023-01-02,2023,1,Appartement,70.0,215397.0,3077.1,3,83200,Est (La Valette / La Garde),43.132186,5.918273
2023-01-05,2023,1,Appartement,38.0,220000.0,5789.47,2,83000,Centre-ville,43.107653,5.931619
2023-01-10,2023,1,Appartement,20.0,75000.0,3750.0,1,83000,Centre-ville,43.123859,5.940553
2023-01-10,2023,1,Appartement,20.0,75000.0,3750.0,1,83000,Centre-ville,43.123859,5.940553
2023-01-10,2023,1,Appartement,45.0,158000.0,3511.11,2,83000,Centre-ville,43.134843,5.921907
2023-01-16,2023,1,Appartement,21.0,67175.0,3198.81,1,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.123146,5.956059
2023-01-09,2023,1,Appartement,68.0,179000.0,2632.35,4,83200,Est (La Valette / La Garde),43.135986,5.896769
2023-01-12,2023,1,Appartement,59.0,288200.0,4884.75,3,83000,Centre-ville,43.108873,5.94012
2023-01-11,2023,1,Maison,60.0,273200.0,4553.33,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.124455,5.95215
2023-01-12,2023,1,Appartement,45.0,53200.0,1182.22,2,83000,Centre-ville,43.120453,5.933932
2023-01-19,2023,1,Appartement,149.0,255000.0,1711.41,4,83000,Centre-ville,43.113393,5.931869
2023-01-12,2023,1,Appartement,40.0,54000.0,1350.0,2,83000,Centre-ville,43.120453,5.933932
2023-01-12,2023,1,Appartement,70.0,88800.0,1268.57,3,83000,Centre-ville,43.120453,5.933932
2023-01-09,2023,1,Appartement,56.0,135000.0,2410.71,3,83200,Est (La Valette / La Garde),43.129956,5.912034
2023-01-13,2023,1,Maison,77.0,311000.0,4038.96,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.120711,5.970355
2023-01-16,2023,1,Appartement,31.0,170000.0,5483.87,1,83000,Centre-ville,43.121076,5.934337
2023-01-16,2023,1,Appartement,46.0,170000.0,3695.65,2,83000,Centre-ville,43.121076,5.934337
2023-01-06,2023,1,Appartement,54.0,73000.0,1351.85,3,83200,Est (La Valette / La Garde),43.132033,5.909757
2023-01-12,2023,1,Appartement,63.0,142000.0,2253.97,3,83200,Est (La Valette / La Garde),43.13082,5.914533
2023-01-11,2023,1,Appartement,87.0,215000.0,2471.26,3,83000,Centre-ville,43.126371,5.92944
2023-01-06,2023,1,Appartement,50.0,90000.0,1800.0,2,83000,Centre-ville,43.12759,5.943811
2023-01-19,2023,1,Appartement,62.0,110000.0,1774.19,3,83200,Est (La Valette / La Garde),43.128101,5.917445
2023-01-19,2023,1,Appartement,67.0,110000.0,1641.79,3,83200,Est (La Valette / La Garde),43.128101,5.917445
2023-01-19,2023,1,Appartement,85.0,293700.0,3455.29,4,83000,Centre-ville,43.107283,5.93484
2023-01-06,2023,1,Appartement,46.0,105080.0,2284.35,3,83000,Centre-ville,43.124632,5.929041
2023-01-04,2023,1,Appartement,74.0,346200.0,4678.38,4,83000,Centre-ville,43.117738,5.96627
2023-01-13,2023,1,Appartement,68.0,203000.0,2985.29,3,83200,Est (La Valette / La Garde),43.145254,5.901192
2023-01-17,2023,1,Appartement,50.0,107000.0,2140.0,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.133322,5.97959
2023-01-06,2023,1,Appartement,43.0,119000.0,2767.44,2,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.122706,5.970436
2023-01-20,2023,1,Appartement,61.0,157000.0,2573.77,3,83000,Centre-ville,43.118287,5.946397
2023-01-10,2023,1,Appartement,68.0,197500.0,2904.41,4,83200,Est (La Valette / La Garde),43.135986,5.896769
2023-01-11,2023,1,Appartement,60.0,216100.0,3601.67,2,83000,Centre-ville,43.126641,5.932229
2023-01-23,2023,1,Appartement,58.0,162100.0,2794.83,3,83000,Centre-ville,43.125805,5.943632
2023-01-05,2023,1,Appartement,42.0,77000.0,1833.33,2,83200,Est (La Valette / La Garde),43.131783,5.918856
2023-01-19,2023,1,Appartement,23.0,331000.0,14391.3,1,83200,Est (La Valette / La Garde),43.1308,5.919351
2023-01-19,2023,1,Appartement,65.0,331000.0,5092.31,3,83200,Est (La Valette / La Garde),43.1308,5.919351
2023-01-23,2023,1,Appartement,67.0,90000.0,1343.28,4,83200,Est (La Valette / La Garde),43.131042,5.910538
2023-01-24,2023,1,Appartement,35.0,110000.0,3142.86,2,83000,Centre-ville,43.121615,5.932547
2023-01-23,2023,1,Appartement,31.0,98500.0,3177.42,2,83000,Centre-ville,43.121595,5.93173
2023-01-16,2023,1,Appartement,77.0,198000.0,2571.43,4,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.125691,5.982516
2023-01-16,2023,1,Appartement,80.0,292000.0,3650.0,1,83000,Centre-ville,43.118944,5.948425
2023-01-17,2023,1,Appartement,66.0,123870.0,1876.82,3,83100,Ouest (Le Mourillon / Saint-Jean-du-Var),43.123983,5.952847
2023-01-20,2023,1,Appartement,84.0,272850.0,3248.21,4,83000,Centre-ville,43.117868,5.968886
2023-01-20,2023,1,Appartement,67.0,99000.0,1477.61,4,83200,Est (La Valette / La Garde),43.12891,5.90541
2023-01-20,2023,1,Appartement,64.0,139000.0,2171.88,3,83000,Centre-ville,43.120651,5.932669
2023-01-24,2023,1,Appartement,42.0,128000.0,3047.62,2,83000,Centre-ville,43.118858,5.941445
2023-01-25,2023,1,Appartement,19.0,73000.0,3842.11,1,83000,Centre-ville,43.122113,5.934355
2023-01-17,2023,1,Appartement,78.0,197500.0,2532.05,4,83000,Centre-ville,43.122584,5.945859
